"id","title","format","release_year","mpaa_rating","rt_critic_score","imdb_rating","metacritic_score","genre","director","country","language","runtime","plot","awards","poster_url","type","writer","actors","watch_status","tags","personal_notes","my_rating","average_score","star_rating"
148,"Austin Powers The Spy Who Shagged Me","Blu Ray",1999,"PG-13","53","6.7","59","Action, Adventure, Comedy","Jay Roach","United States","English, German","95 min","Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".","Nominated for 1 Oscar. 18 wins & 31 nominations total","https://m.media-amazon.com/images/M/MV5BY2I3ZTBjOGQtYjQ3My00M2RlLTk3MjgtOTVmMWExNmU3ZjBkXkEyXkFqcGc@._V1_SX300.jpg","movie","Mike Myers, Michael McCullers","Mike Myers, Heather Graham, Michael York","Watched","","","2",NULL,"3.0"
157,"Back to the Future Part III","Blu Ray",1990,"PG","79","7.4","55","Adventure, Comedy, Sci-Fi","Robert Zemeckis","United States","English","118 min","Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is m...","5 wins & 11 nominations total","https://m.media-amazon.com/images/M/MV5BNTNkNzJmY2MtOGNjYi00NDJmLWIyZTQtNmFmMGQ5M2VlOTI0XkEyXkFqcGc@._V1_SX300.jpg","movie","Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Mary Steenburgen","Watched","","","2",NULL,"3.5"
7,"Annie","Blu Ray",1982,"PG","49","6.6","39","Comedy, Drama, Family","John Huston","United States","English","127 min","A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.","Nominated for 2 Oscars. 2 wins & 13 nominations total","https://m.media-amazon.com/images/M/MV5BZjQzOGJkNTAtYzY3NS00ZjViLWI4OTMtZTdkNzRjYWRmOTUwXkEyXkFqcGc@._V1_SX300.jpg","movie","Carol Sobieski, Thomas Meehan, Martin Charnin","Aileen Quinn, Albert Finney, Carol Burnett","Watched",NULL,NULL,"3.5","4.73","4.7"
6,"American Psycho","Unknown",2000,"R","68","7.6","64","Crime","Drama","Horror","Mary Harron","Watched","Cantonese",NULL,NULL,"A wealthy New York City investment banking executive","Patrick Bateman","hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent","United States","English","Spanish",NULL,"6.93","3.5"
9,"The Avengers","Unknown",2012,"PG-13","91","8","69","Action","Sci-Fi","Joss Whedon","United States",NULL,NULL,"Earth''s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.","143 min","Nominated for 1 Oscar. 39 wins & 81 nominations total","https://m.media-amazon.com/images/M/MV5BNGE0YTVjNzUtNzJjOS00NGNlLTgxMzctZTY4YTE1Y2Y1ZTU4XkEyXkFqcGc@._V1_SX300.jpg","movie","English","Russian","Watched",NULL,"8.00","4.0"
16,"The Bourne Ultimatum","Blu-ray",2015,"Unrated","85","8","75","Drama","Thriller","Director P","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"8.00","4.0"
135,"Office Space","DVD",2022,"PG","72","8.7","82","Comedy","Romance","Director W","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.03","4.0"
136,"Once","Unknown",2023,"Unrated","73","8.8","83","Action","Sci-Fi","Director X","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.13","4.1"
137,"Pan's Labyrinth","Blu-ray",2000,"PG-13","74","8.9","84","Drama","Thriller","Director Y","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.23","4.1"
138,"Pitch Perfect","DVD",2001,"R","75","9","85","Comedy","Romance","Director Z","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"8.33","4.2"
97,"It's Always Sunny in Philadelphia: Season 10","DVD",2016,"R","87","7.2","67","Comedy","Romance","Director L","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.53","3.8"
116,"The Matrix","Blu-ray",2003,"Unrated","73","6.8","63","Drama","Thriller","Director D","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"6.80","3.4"
117,"The Matrix Reloaded","DVD",2004,"PG-13","74","6.9","64","Comedy","Romance","Director E","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"6.90","3.5"
118,"The Matrix Revolutions","Unknown",2005,"R","75","7","65","Action","Sci-Fi","Director F","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"7.00","3.5"
119,"Mean Girls","Blu-ray",2006,"PG","76","7.1","66","Drama","Thriller","Director G","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.10","3.6"
121,"Men in Black","Unknown",2008,"PG-13","78","7.3","68","Action","Sci-Fi","Director I","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.30","3.7"
122,"Miss Congeniality","Blu-ray",2009,"R","79","7.4","69","Drama","Thriller","Director J","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.40","3.7"
123,"Moulin Rouge!","DVD",2010,"PG","80","7.5","70","Comedy","Romance","Director K","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"7.50","3.8"
